Date,Open,High,Low,Close,Volume
2021-10-01,43816.7,48436.0,43320.0,48116.9,42850641582.0
2021-10-02,48137.5,48282.1,47465.5,47711.5,30614346492.0
2021-10-03,47680.0,49130.7,47157.3,48200.0,26638115879.0
2021-10-04,48208.9,49456.8,47045.0,49112.9,33383173002.0
2021-10-05,49175.0,51840.0,49072.8,51514.8,35873904236.0
2021-10-06,51486.7,55568.5,50488.2,55361.4,49034730168.0
2021-10-07,55338.6,55338.6,53525.5,53806.0,36807860413.0
2021-10-08,53802.1,55923.0,53688.1,53967.8,34800873924.0
2021-10-09,53929.8,55397.9,53735.1,54968.2,32491211414.0
2021-10-10,54952.8,56401.3,54264.3,54771.6,39527792364.0
2021-10-11,54734.1,57793.0,54519.8,57484.8,42637331698.0
2021-10-12,57526.8,57627.9,54478.0,56041.1,41083758949.0
2021-10-13,56038.3,57688.7,54371.0,57401.1,41684252783.0
2021-10-14,57372.8,58478.7,56957.1,57321.5,36615791366.0
2021-10-15,57345.9,62757.1,56868.1,61593.9,51780081801.0
2021-10-16,61609.5,62274.5,60206.1,60892.2,34250964237.0
2021-10-17,60887.7,61645.5,59164.5,61553.6,29032367511.0
2021-10-18,61548.8,62614.7,60012.8,62026.1,38055562075.0
2021-10-19,62043.2,64434.5,61622.9,64262.0,40471196346.0
2021-10-20,64284.6,66930.4,63610.7,65992.8,40788955582.0
2021-10-21,66002.2,66600.5,62117.4,62210.2,45908121370.0
2021-10-22,62237.9,63715.0,60122.8,60692.3,38434082775.0
2021-10-23,60694.6,61743.9,59826.5,61393.6,26882546034.0
2021-10-24,61368.3,61505.8,59643.3,60930.8,27316183882.0
2021-10-25,60893.9,63729.3,60691.8,63039.8,31064911614.0
2021-10-26,63032.8,63229.0,59991.2,60363.8,34878965587.0
2021-10-27,60352.0,61435.2,58208.2,58482.4,43657076893.0
2021-10-28,58470.7,62128.6,58206.9,60622.1,45257083247.0
2021-10-29,60624.9,62927.6,60330.0,62228.0,36856881767.0
2021-10-30,62239.4,62330.1,60918.4,61888.8,32157938616.0
2021-10-31,61850.5,62406.2,60074.3,61319.0,32241199927.0
2021-11-01,61320.4,62419.0,59695.2,61004.4,36150572843.0
2021-11-02,60963.3,64242.8,60673.1,63226.4,37746665647.0
2021-11-03,63254.3,63516.9,61184.2,62970.0,36124731509.0
2021-11-04,62941.8,63123.3,60799.7,61452.2,32615846901.0
2021-11-05,61460.1,62541.5,60844.6,61125.7,30605102446.0
2021-11-06,61068.9,61590.7,60163.8,61527.5,29094934221.0
2021-11-07,61554.9,63327.0,61432.5,63327.0,24726754302.0
2021-11-08,63344.1,67673.7,63344.1,67566.8,41125608330.0
2021-11-09,67549.7,68530.3,66382.1,66971.8,42357991721.0
2021-11-10,66953.3,68789.6,63208.1,64995.2,48730828378.0
2021-11-11,64978.9,65579.0,64180.5,64950.0,35880633236.0
2021-11-12,64864.0,65460.8,62333.9,64155.9,36084893887.0
2021-11-13,64158.1,64915.7,63303.7,64469.5,30474228777.0
2021-11-14,64455.4,65495.2,63647.8,65466.8,25122092191.0
2021-11-15,65521.3,66281.6,63548.1,63557.9,30558763548.0
2021-11-16,63721.2,63721.2,59016.3,60161.2,46844335592.0
2021-11-17,60139.6,60823.6,58515.4,60368.0,39178392930.0
2021-11-18,60360.1,60948.5,56550.8,56942.1,41388338699.0
2021-11-19,56896.1,58351.1,55705.2,58119.6,38702407772.0
2021-11-20,58115.1,59859.9,57469.7,59697.2,30624264863.0
2021-11-21,59730.5,60004.4,58618.9,58730.5,26123447605.0
2021-11-22,58706.8,59266.4,55679.8,56289.3,35036121783.0
2021-11-23,56304.6,57875.5,55632.8,57569.1,37485803899.0
2021-11-24,57565.9,57803.1,55964.2,56280.4,36635566789.0
2021-11-25,57165.4,59368.0,57146.7,57274.7,34284016248.0
2021-11-26,58960.3,59183.5,53569.8,53569.8,41810748221.0
2021-11-27,53736.4,55329.3,53668.4,54815.1,30560857714.0
2021-11-28,54813.0,57393.8,53576.7,57248.5,28116886357.0
2021-11-29,57291.9,58872.9,56792.5,57806.6,32370840356.0
2021-11-30,57830.1,59113.4,56057.3,57005.4,36708594618.0
2021-12-01,56908.0,59041.7,56553.1,57229.8,36858195307.0
2021-12-02,57217.4,57349.2,55895.1,56477.8,32379968686.0
2021-12-03,56509.2,57482.2,52496.6,53598.2,39789134215.0
2021-12-04,53727.9,53904.7,42874.6,49200.7,61385677469.0
2021-12-05,49201.5,49768.1,47857.5,49368.8,37198201161.0
2021-12-06,49413.5,50929.5,47281.0,50582.6,37707308001.0
2021-12-07,50581.8,51934.8,50175.8,50700.1,33676814852.0
2021-12-08,50667.6,51171.4,48766.0,50504.8,28479699446.0
2021-12-09,50450.1,50797.2,47358.4,47672.1,29603577251.0
2021-12-10,47642.1,50015.3,47023.7,47243.3,30966005122.0
2021-12-11,47264.6,49458.2,46942.3,49362.5,25775869261.0
2021-12-12,49354.9,50724.9,48725.9,50098.3,21939223599.0
2021-12-13,50114.7,50205.0,45894.8,46737.5,32166727776.0
2021-12-14,46709.8,48431.4,46424.5,46612.6,34638619079.0
2021-12-15,48379.8,49474.0,46672.0,48896.7,36541828520.0
2021-12-16,48900.5,49425.6,47529.9,47665.4,27268150947.0
2021-12-17,47653.7,48004.9,45618.2,46202.1,32902725329.0
2021-12-18,46219.3,47313.8,45598.4,46848.8,26098292690.0
2021-12-19,46853.9,48089.7,46503.0,46707.0,25154053861.0
2021-12-20,46707.1,47401.7,45579.8,46880.3,30961902129.0
2021-12-21,46886.1,49300.9,46698.8,48936.6,27055803928.0
2021-12-22,48937.1,49544.8,48450.9,48628.5,24447979559.0
2021-12-23,48626.3,51332.3,48065.8,50784.5,28223878108.0
2021-12-24,50806.1,51814.0,50514.5,50822.2,24367912228.0
2021-12-25,50854.9,51176.6,50236.7,50429.9,19030650914.0
2021-12-26,50428.7,51196.4,49623.1,50809.5,20964372926.0
2021-12-27,50802.6,51956.3,50499.5,50640.4,24324345758.0
2021-12-28,50679.9,50679.9,47414.2,47588.9,33430376883.0
2021-12-29,47623.9,48119.7,46201.5,46444.7,30049226299.0
2021-12-30,46490.6,47880.0,46060.3,47178.1,26686491018.0
2021-12-31,47169.4,48472.5,45820.0,46306.4,36974172400.0
2022-01-01,46311.7,47827.3,46288.5,47686.8,24582667004.0
2022-01-02,47680.9,47881.4,46856.9,47345.2,27951569547.0
2022-01-03,47343.5,47510.7,45836.0,46458.1,33071628362.0
2022-01-04,46458.9,47406.5,45752.5,45897.6,42494677905.0
2022-01-05,45899.4,46929.0,42798.2,43569.0,36851084859.0
